system:index,LST,NDBI,NDVI,NDWI,.geo
92,34.85287238000001,-0.0013001935171746493,0.13971537230472716,-0.18403175057208238,"{""type"":""Point"",""coordinates"":[72.82853750856059,33.59328764722967]}"
93,32.35429976,-0.06971120735832019,0.23469351704645822,-0.2491019890272888,"{""type"":""Point"",""coordinates"":[72.96958043626852,33.7109173922725]}"
94,34.13167016,0.024830171000234248,0.10008588227521965,-0.1398062904274616,"{""type"":""Point"",""coordinates"":[73.22668293265215,33.53398283852801]}"
95,33.003723560000026,-0.03800753970706384,0.16971933978689324,-0.20070057547270972,"{""type"":""Point"",""coordinates"":[72.88723811114264,33.56321317664682]}"
96,27.73997276,-0.14768794700240598,0.31106927710843374,-0.3042436046293869,"{""type"":""Point"",""coordinates"":[73.2750641631039,33.759276693212364]}"
97,31.581827240000052,-8.820564516129032E-4,0.10777169554757506,-0.12658676689596482,"{""type"":""Point"",""coordinates"":[73.04920880219784,33.667400243927545]}"
98,33.39679586,0.012415933781686497,0.12533158670378255,-0.16288199262242378,"{""type"":""Point"",""coordinates"":[72.92726790198513,33.590778496804354]}"
99,35.82700808000004,0.03237983663640209,0.06592579315289479,-0.09239869209008414,"{""type"":""Point"",""coordinates"":[73.01322836248951,33.57626207813773]}"
100,30.93240344000003,-2.27147353733329E-4,0.13977222304392842,-0.1566445899547834,"{""type"":""Point"",""coordinates"":[73.07572468605498,33.69966499226334]}"
101,26.406944960000033,-0.13013580883616985,0.3055048057828263,-0.277348152178137,"{""type"":""Point"",""coordinates"":[73.04601240608527,33.73657695344236]}"
102,30.809354719999988,-0.027857681244135426,0.1781715595521467,-0.2017121070426588,"{""type"":""Point"",""coordinates"":[73.24426924200274,33.698822352465946]}"
103,32.72002789999999,0.01372510531640218,0.09030211984643632,-0.12177780830857476,"{""type"":""Point"",""coordinates"":[73.00855803870363,33.69409136206135]}"
104,24.222830180000017,-0.04730865552849154,0.21795332136445242,-0.21916932907348244,"{""type"":""Point"",""coordinates"":[73.11803698154947,33.79764902322287]}"
105,36.924192500000004,0.001375163900348588,0.11346455569818856,-0.13542897660127629,"{""type"":""Point"",""coordinates"":[73.14506804885953,33.53782638062151]}"
106,31.303258610000057,-0.07337662337662337,0.2356204264694311,-0.23547460760788325,"{""type"":""Point"",""coordinates"":[72.90398951377973,33.705334716254754]}"
107,27.644268200000056,-0.08108108108108109,0.23549021970518536,-0.22941646682653877,"{""type"":""Point"",""coordinates"":[73.23379778488643,33.71532494445795]}"
108,34.557213649999994,-0.014591346918015068,0.1459346893345062,-0.1639679066374909,"{""type"":""Point"",""coordinates"":[73.06680426620761,33.58633699775899]}"
109,32.09623925000005,-0.005725349190983267,0.1477360604769345,-0.18651700058735235,"{""type"":""Point"",""coordinates"":[73.20636942254296,33.59700369722667]}"
110,23.569988360000025,-0.1717023979061622,0.29678381256656017,-0.2743636972538513,"{""type"":""Point"",""coordinates"":[73.29218926277139,33.780891899631555]}"
111,33.96931420999999,0.029624717489274744,0.097266856425795,-0.1506748190586234,"{""type"":""Point"",""coordinates"":[72.90095306089287,33.57628642111049]}"
112,31.185336920000054,-0.0389344262295082,0.1668584579976985,-0.2099336266686554,"{""type"":""Point"",""coordinates"":[73.27151724372378,33.698832026927256]}"
113,32.25005014999999,-0.007094846900672144,0.11296812132466728,-0.1363165563611467,"{""type"":""Point"",""coordinates"":[73.13879643425277,33.67162700032145]}"
114,34.28719007000001,0.006367748451978393,0.11443488540093255,-0.16676980198019803,"{""type"":""Point"",""coordinates"":[72.91164628589368,33.50801953204712]}"
115,28.861083320000034,-0.11857906318767683,0.300179047758249,-0.283344153502128,"{""type"":""Point"",""coordinates"":[73.02566495499454,33.648355082460505]}"
116,32.63457740000001,-0.03255316621123916,0.19259005145797597,-0.21323375444964054,"{""type"":""Point"",""coordinates"":[72.9067822664603,33.62825839451982]}"
117,30.48635182999999,-0.01499267935578331,0.14883250749879853,-0.17281632238745367,"{""type"":""Point"",""coordinates"":[72.8218473556016,33.77991675643393]}"
118,33.7796141,0.024326569360389225,0.14238077043315156,-0.1694758552023327,"{""type"":""Point"",""coordinates"":[72.81475919306118,33.55194215987022]}"
119,33.413885960000016,3.097980679865942E-4,0.1355812911894555,-0.18950437317784258,"{""type"":""Point"",""coordinates"":[73.23504213344276,33.69779354890915]}"
120,28.086901790000013,-0.04316823162391849,0.21168847396512022,-0.23332969948035903,"{""type"":""Point"",""coordinates"":[73.2382961426662,33.76452199152236]}"
121,32.95245326000003,0.05641695055557324,0.05377873384415723,-0.08997627847961605,"{""type"":""Point"",""coordinates"":[73.04875561364413,33.65387128105083]}"
122,33.22931288000001,-0.06030711678281594,0.21966962798445308,-0.2322417782764182,"{""type"":""Point"",""coordinates"":[73.2561444282568,33.59628755521533]}"
123,31.253697320000015,0.011015325670498084,0.15619477542736165,-0.1763658697238887,"{""type"":""Point"",""coordinates"":[73.09579835719461,33.706935335896986]}"
124,36.99938894000002,-0.02549148716019189,0.11320626276378488,-0.13728353849363656,"{""type"":""Point"",""coordinates"":[73.1137595905149,33.55829909340284]}"
125,33.98127728000003,-0.0361653956148713,0.1821364238860755,-0.19760355335192645,"{""type"":""Point"",""coordinates"":[73.08973732061965,33.60605363921871]}"
126,21.473033090000058,-0.13892535223593244,0.23357266415487785,-0.21978536951122357,"{""type"":""Point"",""coordinates"":[73.08418883477216,33.775097825657404]}"
127,26.28389623999999,-0.07474332648870637,0.19241809814553243,-0.1838414909979191,"{""type"":""Point"",""coordinates"":[73.25705926832637,33.79888432745877]}"
